iter	Logloss
0	0.6660724132
1	0.6375890957
2	0.6129936219
3	0.5929470709
4	0.5744297308
5	0.5598382888
6	0.5452830532
7	0.5345330501
8	0.5238099037
9	0.5132706398
10	0.5039100176
11	0.4964629619
12	0.4895897978
13	0.4833055736
14	0.4779955499
15	0.473122283
16	0.468596719
17	0.4643068353
18	0.4602556658
19	0.4575848637
20	0.4544023434
21	0.4509633445
22	0.4477503077
23	0.4453982796
24	0.4437682382
25	0.4415143416
26	0.4397007074
27	0.437953348
28	0.4366335983
29	0.434869022
30	0.4331066895
31	0.4318256146
32	0.4306279931
33	0.4296526543
34	0.4285088582
35	0.4275886747
36	0.4265241066
37	0.4255454879
38	0.4247704878
39	0.4235085532
40	0.4227171324
41	0.4216681084
42	0.4209070991
43	0.4200942367
44	0.4194254171
45	0.4188761118
46	0.418383011
47	0.4178732005
48	0.4171377007
49	0.4165950033
50	0.4161254241
51	0.4155942565
52	0.4151046047
53	0.4146291818
54	0.4141356333
55	0.4137389105
56	0.4133284263
57	0.4130664602
58	0.412721314
59	0.4121678529
60	0.4116345079
61	0.4113528084
62	0.4110538806
63	0.4108710484
64	0.4105000391
65	0.410251865
66	0.4100965668
67	0.4097095345
68	0.4094415766
69	0.4092955945
70	0.4090597446
71	0.4088120279
72	0.4084781511
73	0.4082055124
74	0.4080689312
75	0.4078185238
76	0.4076218627
77	0.4073684385
78	0.4071910659
79	0.4070038273
80	0.406877385
81	0.4067347239
82	0.4065352319
83	0.4063860311
84	0.4062717932
85	0.4060830911
86	0.4059288814
87	0.405825988
88	0.4057203438
89	0.4055589013
90	0.4053868783
91	0.4051807623
92	0.4050635684
93	0.4048733073
94	0.4045781635
95	0.4044664719
96	0.4043138091
97	0.4041999483
98	0.4040885478
99	0.4040051949
100	0.4038461624
101	0.4037557439
102	0.4036481533
103	0.4034940602
104	0.4034027673
105	0.4032852194
106	0.4030810484
107	0.4029139944
108	0.4027904431
109	0.4026798653
110	0.4025688289
111	0.4024591662
112	0.4023626778
113	0.4022405263
114	0.4021645426
115	0.4020045117
116	0.4019240581
117	0.4018107552
118	0.4017551734
119	0.4016147136
120	0.401550889
121	0.4013540126
122	0.4012746219
123	0.4011693699
124	0.4010978725
125	0.4010254895
126	0.4009077748
127	0.4007866198
128	0.4006961859
129	0.4005812545
130	0.4005058728
131	0.4004154769
132	0.400327644
133	0.4002508296
134	0.4001734286
135	0.4000605356
136	0.4000073036
137	0.3999244417
138	0.3998165217
139	0.3997543004
140	0.3996726435
141	0.3996298431
142	0.3995140372
143	0.3994200381
144	0.3992945206
145	0.3992107518
146	0.3991365267
147	0.3990235798
148	0.3989612375
149	0.398874953
150	0.3987852492
151	0.3986190294
152	0.3985471231
153	0.3984269581
154	0.3983640822
155	0.3982742249
156	0.3981486702
157	0.3980784266
158	0.3980261023
159	0.3979358788
160	0.3977431233
161	0.3976706448
162	0.3975939653
163	0.3974891746
164	0.3973368093
165	0.3972679882
166	0.3971513188
167	0.3970538471
168	0.396985682
169	0.3969105892
170	0.3968854249
171	0.3968520937
172	0.3967746337
173	0.3966776934
174	0.396649006
175	0.3965367738
176	0.396473652
177	0.3963766786
178	0.3962943632
179	0.3962057594
180	0.3961126718
181	0.3960662952
182	0.3959650263
183	0.3958210388
184	0.395708363
185	0.3956364195
186	0.3955448148
187	0.3954929857
188	0.3954132793
189	0.3953059414
190	0.3951844232
191	0.3949856465
192	0.3948736418
193	0.3947690665
194	0.3946404216
195	0.3945182247
196	0.3943872808
197	0.3942980122
198	0.3941877543
199	0.3940012353
